Date : 2025-03-22 14:56:12
Directory : d:\Users\normalpcer\Documents\sync_code
Total : 683 files,  80556 codes, 7696 comments, 9669 blanks, all 97921 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Users\normalpcer\Documents\sync_code\ABC300g_P_smooth_number.cpp                                                                            | C++                |         55 |          5 |         10 |         70 |
| d:\Users\normalpcer\Documents\sync_code\ABC324a_Same.cpp                                                                                       | C++                |         45 |          4 |          5 |         54 |
| d:\Users\normalpcer\Documents\sync_code\ABC324b_Smooth_Numbers.cpp                                                                             | C++                |         41 |          4 |          5 |         50 |
| d:\Users\normalpcer\Documents\sync_code\ABC324c_Error_Correction.cpp                                                                           | C++                |         93 |          5 |          9 |        107 |
| d:\Users\normalpcer\Documents\sync_code\ABC324d_Square_Permutation.cpp                                                                         | C++                |         65 |         11 |         12 |         88 |
| d:\Users\normalpcer\Documents\sync_code\ABC324e_Join_Two_String.cpp                                                                            | C++                |         72 |         19 |         14 |        105 |
| d:\Users\normalpcer\Documents\sync_code\ABC364b_Grid_Walk.cpp                                                                                  | C++                |        171 |         13 |         11 |        195 |
| d:\Users\normalpcer\Documents\sync_code\ABC364c_Minimum_Glutton.cpp                                                                            | C++                |        165 |         15 |         15 |        195 |
| d:\Users\normalpcer\Documents\sync_code\ABC364d_K_th_Nearest.cpp                                                                               | C++                |        163 |         13 |         11 |        187 |
| d:\Users\normalpcer\Documents\sync_code\ABC364e_Maximum_Glutton.cpp                                                                            | C++                |        165 |         14 |         10 |        189 |
| d:\Users\normalpcer\Documents\sync_code\ABC366e_Manhattan_Multifocal_Ellipse.cpp                                                               | C++                |         83 |          9 |         14 |        106 |
| d:\Users\normalpcer\Documents\sync_code\ABC369E_Sightseeing_Tour.cpp                                                                           | C++                |         73 |          5 |         12 |         90 |
| d:\Users\normalpcer\Documents\sync_code\ABC369F_Gather_Coins.cpp                                                                               | C++                |         66 |          8 |         18 |         92 |
| d:\Users\normalpcer\Documents\sync_code\ABC386f.check_gen.cpp                                                                                  | C++                |         46 |          1 |          6 |         53 |
| d:\Users\normalpcer\Documents\sync_code\ABC386f_Operate_K.cpp                                                                                  | C++                |         55 |         16 |         12 |         83 |
| d:\Users\normalpcer\Documents\sync_code\ARC160a_Reverse_and_count.cpp                                                                          | C++                |        194 |          5 |         13 |        212 |
| d:\Users\normalpcer\Documents\sync_code\ARC166A_Replace_C_or_Swap_AB.cpp                                                                       | C++                |        227 |         28 |         38 |        293 |
| d:\Users\normalpcer\Documents\sync_code\AT_abc204_f_[ABC204F]_Hanjo_2.cpp                                                                      | C++                |         92 |         41 |         23 |        156 |
| d:\Users\normalpcer\Documents\sync_code\AT_birthday0410_x_この問題はほんとうにひどい問題であるため，できれば先に他の問題のほうをお楽しみいただければと思っておりまして，ですので他の問題を通し終えて暇になり，かつその暇を.cpp | C++                |        454 |         67 |         71 |        592 |
| d:\Users\normalpcer\Documents\sync_code\BDGD 算法.md                                                                                             | Markdown           |         44 |          0 |         18 |         62 |
| d:\Users\normalpcer\Documents\sync_code\C++算法库.md                                                                                              | Markdown           |        320 |          0 |        211 |        531 |
| d:\Users\normalpcer\Documents\sync_code\CF1045G_AI_robots.cpp                                                                                  | C++                |         83 |          5 |          8 |         96 |
| d:\Users\normalpcer\Documents\sync_code\CF1304F2_Animal_Observation_hard_version.cpp                                                           | C++                |        161 |         16 |         15 |        192 |
| d:\Users\normalpcer\Documents\sync_code\CF1557D_Ezzat_and_Grid.cpp                                                                             | C++                |        138 |          4 |         11 |        153 |
| d:\Users\normalpcer\Documents\sync_code\CF1569E_Playoff_Restoration.cpp                                                                        | C++                |        194 |          8 |         15 |        217 |
| d:\Users\normalpcer\Documents\sync_code\CF1741F_Multi_Colored_Segments.cpp                                                                     | C++                |        187 |         15 |         19 |        221 |
| d:\Users\normalpcer\Documents\sync_code\CF242E_XOR_on_Segment.cpp                                                                              | C++                |        133 |          6 |         12 |        151 |
| d:\Users\normalpcer\Documents\sync_code\CF431E_Chemistry_Experiment.cpp                                                                        | C++                |        103 |          4 |         10 |        117 |
| d:\Users\normalpcer\Documents\sync_code\CF438D_The_Child_and_Sequence.cpp                                                                      | C++                |        103 |          4 |          8 |        115 |
| d:\Users\normalpcer\Documents\sync_code\CF474E_Pillars.cpp                                                                                     | C++                |        129 |          4 |         17 |        150 |
| d:\Users\normalpcer\Documents\sync_code\CF525E_Anya_and_Cubes.cpp                                                                              | C++                |         76 |          6 |         13 |         95 |
| d:\Users\normalpcer\Documents\sync_code\CF597C_Subsequences.cpp                                                                                | C++                |         71 |          4 |         11 |         86 |
| d:\Users\normalpcer\Documents\sync_code\CF59E_Shortest_Path.cpp                                                                                | C++                |         70 |          4 |         11 |         85 |
| d:\Users\normalpcer\Documents\sync_code\CF833B_The_Bakery.cpp                                                                                  | C++                |         97 |          7 |         10 |        114 |
| d:\Users\normalpcer\Documents\sync_code\CF888E_Maximum_Subsequence.cpp                                                                         | C++                |         44 |          3 |         10 |         57 |
| d:\Users\normalpcer\Documents\sync_code\CF920F_SUM_and_REPLACE.cpp                                                                             | C++                |         85 |          3 |         12 |        100 |
| d:\Users\normalpcer\Documents\sync_code\CF960F_Pathwalks.cpp                                                                                   | C++                |         88 |          5 |         12 |        105 |
| d:\Users\normalpcer\Documents\sync_code\Data\1_for_zhihu.md                                                                                    | Markdown           |        278 |          0 |        195 |        473 |
| d:\Users\normalpcer\Documents\sync_code\Deepseek 大战猪国杀.cpp                                                                                     | C++                |        283 |         32 |         36 |        351 |
| d:\Users\normalpcer\Documents\sync_code\Deepseek 评价装 & 小分队群公告.md                                                                               | Markdown           |         52 |          0 |         28 |         80 |
| d:\Users\normalpcer\Documents\sync_code\LOJ6277_数列分块入门_1.cpp                                                                                   | C++                |         63 |          3 |         11 |         77 |
| d:\Users\normalpcer\Documents\sync_code\LOJ6278_数列分块入门_2.cpp                                                                                   | C++                |        101 |          3 |         12 |        116 |
| d:\Users\normalpcer\Documents\sync_code\LOJ6279_数列分块入门_3.cpp                                                                                   | C++                |        115 |          3 |         12 |        130 |
| d:\Users\normalpcer\Documents\sync_code\LuoguMarkProblem.ts                                                                                    | TypeScript         |         76 |         13 |         10 |         99 |
| d:\Users\normalpcer\Documents\sync_code\N1022_treecut.cpp                                                                                      | C++                |        358 |          9 |         34 |        401 |
| d:\Users\normalpcer\Documents\sync_code\N1046_亲戚.cpp                                                                                           | C++                |        189 |          6 |         17 |        212 |
| d:\Users\normalpcer\Documents\sync_code\N1057_假期.cpp                                                                                           | C++                |         64 |          8 |         15 |         87 |
| d:\Users\normalpcer\Documents\sync_code\N1058_猴子.cpp                                                                                           | C++                |         74 |          6 |         11 |         91 |
| d:\Users\normalpcer\Documents\sync_code\N1098.cpp                                                                                              | C++                |        212 |         13 |         16 |        241 |
| d:\Users\normalpcer\Documents\sync_code\N1099_五子棋.cpp                                                                                          | C++                |         79 |         12 |         15 |        106 |
| d:\Users\normalpcer\Documents\sync_code\N1099_五子棋_old.cpp                                                                                      | C++                |         81 |         14 |         17 |        112 |
| d:\Users\normalpcer\Documents\sync_code\N1100_Fix.cpp                                                                                          | C++                |        207 |         39 |         21 |        267 |
| d:\Users\normalpcer\Documents\sync_code\N1100_Fix_check.py                                                                                     | Python             |         50 |          1 |         10 |         61 |
| d:\Users\normalpcer\Documents\sync_code\N1101_邦德I.cpp                                                                                          | C++                |         50 |          6 |          9 |         65 |
| d:\Users\normalpcer\Documents\sync_code\N1101_邦德I_空间优化.cpp                                                                                     | C++                |         57 |         14 |         11 |         82 |
| d:\Users\normalpcer\Documents\sync_code\N1102_玩诈欺的小杉.cpp                                                                                       | C++                |         34 |         13 |         10 |         57 |
| d:\Users\normalpcer\Documents\sync_code\N1103_Bugs_Integrated_Inc.cpp                                                                          | C++                |        239 |        101 |         32 |        372 |
| d:\Users\normalpcer\Documents\sync_code\N1103_Bugs_Integrated_Inc_Legecy.cpp                                                                   | C++                |        306 |         99 |         35 |        440 |
| d:\Users\normalpcer\Documents\sync_code\N1103_check.py                                                                                         | Python             |         52 |          1 |         13 |         66 |
| d:\Users\normalpcer\Documents\sync_code\N1106.check.py                                                                                         | Python             |         64 |          0 |         10 |         74 |
| d:\Users\normalpcer\Documents\sync_code\N1106_Islands_and_Bridges.Legecy.cpp                                                                   | C++                |        114 |         17 |         19 |        150 |
| d:\Users\normalpcer\Documents\sync_code\N1106_Islands_and_Bridges.cpp                                                                          | C++                |        251 |         29 |         17 |        297 |
| d:\Users\normalpcer\Documents\sync_code\N1475.cpp                                                                                              | C++                |        300 |          4 |         39 |        343 |
| d:\Users\normalpcer\Documents\sync_code\N1668_骑士.cpp                                                                                           | C++                |        113 |         20 |         10 |        143 |
| d:\Users\normalpcer\Documents\sync_code\N1759_求街道宽度.cpp                                                                                        | C++                |         51 |          3 |         12 |         66 |
| d:\Users\normalpcer\Documents\sync_code\N1846_范围统计.cpp                                                                                         | C++                |        149 |         13 |         11 |        173 |
| d:\Users\normalpcer\Documents\sync_code\N2009_团伙.cpp                                                                                           | C++                |        189 |          7 |         13 |        209 |
| d:\Users\normalpcer\Documents\sync_code\N2010_cubes.cpp                                                                                        | C++                |        194 |          9 |         17 |        220 |
| d:\Users\normalpcer\Documents\sync_code\N2141.cpp                                                                                              | C++                |        326 |          6 |         31 |        363 |
| d:\Users\normalpcer\Documents\sync_code\N2156_Difference.cpp                                                                                   | C++                |         76 |          3 |         12 |         91 |
| d:\Users\normalpcer\Documents\sync_code\N2171.Solution.cpp                                                                                     | C++                |         54 |          0 |          2 |         56 |
| d:\Users\normalpcer\Documents\sync_code\N2171.check.py                                                                                         | Python             |         49 |          0 |          8 |         57 |
| d:\Users\normalpcer\Documents\sync_code\N2171_Grape.Legecy.cpp                                                                                 | C++                |        119 |         25 |         19 |        163 |
| d:\Users\normalpcer\Documents\sync_code\N2171_Grape.cpp                                                                                        | C++                |        184 |         14 |         14 |        212 |
| d:\Users\normalpcer\Documents\sync_code\N2193_旅游景点.cpp                                                                                         | C++                |        201 |          6 |         14 |        221 |
| d:\Users\normalpcer\Documents\sync_code\N2764_二维LIS.cpp                                                                                        | C++                |         84 |          3 |         14 |        101 |
| d:\Users\normalpcer\Documents\sync_code\N2835_[HNOI2003]24点游戏_D1_T1.cpp                                                                        | C++                |        151 |          4 |         11 |        166 |
| d:\Users\normalpcer\Documents\sync_code\N3055_Nearest_Common_Ancestors.cpp                                                                     | C++                |         64 |          5 |          8 |         77 |
| d:\Users\normalpcer\Documents\sync_code\N3198_电子眼.cpp                                                                                          | C++                |        163 |         13 |         13 |        189 |
| d:\Users\normalpcer\Documents\sync_code\N3229.py                                                                                               | Python             |         44 |          1 |          0 |         45 |
| d:\Users\normalpcer\Documents\sync_code\N3229_打印Hello_Kitty.cpp                                                                                | C++                |          2 |          0 |          0 |          2 |
| d:\Users\normalpcer\Documents\sync_code\N3266_魔法感应_IX.cpp                                                                                      | C++                |         76 |          3 |          8 |         87 |
| d:\Users\normalpcer\Documents\sync_code\N3275_矩形涂色_again.cpp                                                                                   | C++                |         34 |          5 |          6 |         45 |
| d:\Users\normalpcer\Documents\sync_code\N3342_区间查询.cpp                                                                                         | C++                |        294 |        110 |         26 |        430 |
| d:\Users\normalpcer\Documents\sync_code\N3343_矩形涂色_again.cpp                                                                                   | C++                |        102 |          6 |         16 |        124 |
| d:\Users\normalpcer\Documents\sync_code\N3344_矩形涂色_again_plus.cpp                                                                              | C++                |        172 |          5 |         21 |        198 |
| d:\Users\normalpcer\Documents\sync_code\N3353__产量统计_IV_again_plus.cpp                                                                          | C++                |        402 |          8 |         31 |        441 |
| d:\Users\normalpcer\Documents\sync_code\N3356_区间偶数次数异或和.cpp                                                                                    | C++                |        296 |          4 |         14 |        314 |
| d:\Users\normalpcer\Documents\sync_code\N3357_装箱子.cpp                                                                                          | C++                |         80 |          4 |          7 |         91 |
| d:\Users\normalpcer\Documents\sync_code\N3357_装箱子_三维偏序.cpp                                                                                     | C++                |        113 |          4 |         13 |        130 |
| d:\Users\normalpcer\Documents\sync_code\N3358_序列划分.cpp                                                                                         | C++                |         29 |          3 |          8 |         40 |
| d:\Users\normalpcer\Documents\sync_code\N3360_编辑字符串.cpp                                                                                        | C++                |        341 |         10 |         22 |        373 |
| d:\Users\normalpcer\Documents\sync_code\N3361_区间GCD.cpp                                                                                        | C++                |        362 |         23 |         21 |        406 |
| d:\Users\normalpcer\Documents\sync_code\N3365_区间最大与次大.cpp                                                                                      | C++                |        374 |          6 |         19 |        399 |
| d:\Users\normalpcer\Documents\sync_code\N3367_最先出现_2.cpp                                                                                       | C++                |        398 |          8 |         22 |        428 |
| d:\Users\normalpcer\Documents\sync_code\N3402_计算Rating.cpp                                                                                     | C++                |        399 |         15 |         18 |        432 |
| d:\Users\normalpcer\Documents\sync_code\P1000_超级玛丽游戏.cpp                                                                                       | C++                |          1 |          3 |          0 |          4 |
| d:\Users\normalpcer\Documents\sync_code\P1001_A+B_Problem.cpp                                                                                  | C++                |         59 |          6 |          6 |         71 |
| d:\Users\normalpcer\Documents\sync_code\P10059_Choose.cpp                                                                                      | C++                |         77 |         26 |         16 |        119 |
| d:\Users\normalpcer\Documents\sync_code\P10137_[USACO24JAN]_Walking_in_Manhattan_G.cpp                                                         | C++                |        197 |         33 |         24 |        254 |
| d:\Users\normalpcer\Documents\sync_code\P10138_[USACO24JAN]_Cowmpetency_G.cpp                                                                  | C++                |        124 |         50 |         18 |        192 |
| d:\Users\normalpcer\Documents\sync_code\P10139_[USACO24JAN]_Nap_Sort_G.cpp                                                                     | C++                |         77 |         44 |         13 |        134 |
| d:\Users\normalpcer\Documents\sync_code\P10193_[USACO24FEB]_Bessla_Motors_G.cpp                                                                | C++                |         87 |         18 |         14 |        119 |
| d:\Users\normalpcer\Documents\sync_code\P10194_[USACO24FEB]_Milk_Exchange_G.cpp                                                                | C++                |         99 |         59 |         15 |        173 |
| d:\Users\normalpcer\Documents\sync_code\P10195_[USACO24FEB]_Quantum_Moochanics_G.cpp                                                           | C++                |         96 |         22 |         15 |        133 |
| d:\Users\normalpcer\Documents\sync_code\P10232_[COCI_2023_2024_#4]_Roboti.cpp                                                                  | C++                |        156 |         35 |         23 |        214 |
| d:\Users\normalpcer\Documents\sync_code\P10280_[USACO24OPEN]_Cowreography_G.cpp                                                                | C++                |        102 |        137 |         13 |        252 |
| d:\Users\normalpcer\Documents\sync_code\P10281_[USACO24OPEN]_Grass_Segments_G.cpp                                                              | C++                |        263 |         98 |         33 |        394 |
| d:\Users\normalpcer\Documents\sync_code\P10282_[USACO24OPEN]_Smaller_Averages_G.cpp                                                            | C++                |         74 |         43 |         11 |        128 |
| d:\Users\normalpcer\Documents\sync_code\P1038_[NOIP2003_提高组]_神经网络.cpp                                                                          | C++                |        201 |          5 |         15 |        221 |
| d:\Users\normalpcer\Documents\sync_code\P1040_[NOIP2003_提高组]_加分二叉树.cpp                                                                         | C++                |         52 |          4 |          9 |         65 |
| d:\Users\normalpcer\Documents\sync_code\P1073_[NOIP2009_提高组]_最优贸易.cpp                                                                          | C++                |         81 |          3 |          7 |         91 |
| d:\Users\normalpcer\Documents\sync_code\P1083.cpp                                                                                              | C++                |        218 |         13 |         22 |        253 |
| d:\Users\normalpcer\Documents\sync_code\P11186_三目运算.cpp                                                                                        | C++                |        338 |         15 |         33 |        386 |
| d:\Users\normalpcer\Documents\sync_code\P11206.check.py                                                                                        | Python             |         17 |          1 |          4 |         22 |
| d:\Users\normalpcer\Documents\sync_code\P11206.solution.md                                                                                     | Markdown           |        104 |          0 |         33 |        137 |
| d:\Users\normalpcer\Documents\sync_code\P11206_[Cfz_Round_9]_Dove.cpp                                                                          | C++                |         72 |          9 |         12 |         93 |
| d:\Users\normalpcer\Documents\sync_code\P11232_[CSP_S_2024] copy.cpp                                                                           | C++                |        182 |         31 |         35 |        248 |
| d:\Users\normalpcer\Documents\sync_code\P11232_[CSP_S_2024].cpp                                                                                | C++                |        182 |         31 |         35 |        248 |
| d:\Users\normalpcer\Documents\sync_code\P11232_[CSP_S_2024]_超速检测.cpp                                                                           | C++                |        251 |         14 |         26 |        291 |
| d:\Users\normalpcer\Documents\sync_code\P11277_世界沉睡童话.cpp                                                                                      | C++                |         35 |          6 |         10 |         51 |
| d:\Users\normalpcer\Documents\sync_code\P11277_世界沉睡童话.solution.md                                                                              | Markdown           |         68 |          0 |         26 |         94 |
| d:\Users\normalpcer\Documents\sync_code\P1133_教主的花园.cpp                                                                                        | C++                |         61 |          3 |         10 |         74 |
| d:\Users\normalpcer\Documents\sync_code\P11361_[NOIP2024]_编辑字符串.cpp                                                                            | C++                |         67 |         11 |         16 |         94 |
| d:\Users\normalpcer\Documents\sync_code\P11362_[NOIP2024]_遗失的赋值.cpp                                                                            | C++                |         44 |          4 |         13 |         61 |
| d:\Users\normalpcer\Documents\sync_code\P11476_[COCI_2024_2025_#3]_涂矩阵___Bojanje.cpp                                                           | C++                |        113 |         14 |         11 |        138 |
| d:\Users\normalpcer\Documents\sync_code\P11477_[COCI_2024_2025_#3]_林卡树___Stablo.cpp                                                            | C++                |         73 |         36 |         12 |        121 |
| d:\Users\normalpcer\Documents\sync_code\P11655_「FAOI_R5」Lovely_139.cpp                                                                         | C++                |         50 |         11 |          8 |         69 |
| d:\Users\normalpcer\Documents\sync_code\P1168_中位数.cpp                                                                                          | C++                |         69 |          8 |         11 |         88 |
| d:\Users\normalpcer\Documents\sync_code\P1171_售货员的难题.cpp                                                                                       | C++                |        177 |         13 |         16 |        206 |
| d:\Users\normalpcer\Documents\sync_code\P11738 copy.cpp                                                                                        | C++                |      2,078 |        188 |         59 |      2,325 |
| d:\Users\normalpcer\Documents\sync_code\P11738.solution.md                                                                                     | Markdown           |        489 |          0 |        114 |        603 |
| d:\Users\normalpcer\Documents\sync_code\P11738_[集训队互测_2015]_未来程序改.cpp                                                                          | C++                |      1,707 |        174 |         48 |      1,929 |
| d:\Users\normalpcer\Documents\sync_code\P11833_[省选联考_2025]_推箱子.cpp                                                                             | C++                |        218 |         52 |         24 |        294 |
| d:\Users\normalpcer\Documents\sync_code\P1273_有线电视网.cpp                                                                                        | C++                |         60 |          3 |         12 |         75 |
| d:\Users\normalpcer\Documents\sync_code\P1314_聪明的质监员.cpp                                                                                       | C++                |        227 |         15 |         19 |        261 |
| d:\Users\normalpcer\Documents\sync_code\P1357_花园.cpp                                                                                           | C++                |        105 |         24 |         16 |        145 |
| d:\Users\normalpcer\Documents\sync_code\P1433_吃奶酪.cpp                                                                                          | C++                |         55 |          3 |         13 |         71 |
| d:\Users\normalpcer\Documents\sync_code\P1471_方差.cpp                                                                                           | C++                |        136 |          7 |          8 |        151 |
| d:\Users\normalpcer\Documents\sync_code\P1505_[国家集训队]_旅游.cpp                                                                                   | C++                |        193 |          6 |         11 |        210 |
| d:\Users\normalpcer\Documents\sync_code\P1608.check.py                                                                                         | Python             |         60 |          2 |         19 |         81 |
| d:\Users\normalpcer\Documents\sync_code\P1608_路径统计.cpp                                                                                         | C++                |        305 |          7 |         35 |        347 |
| d:\Users\normalpcer\Documents\sync_code\P1638_逛画展.cpp                                                                                          | C++                |         56 |          5 |         10 |         71 |
| d:\Users\normalpcer\Documents\sync_code\P1707_刷题比赛.cpp                                                                                         | C++                |        112 |          7 |         16 |        135 |
| d:\Users\normalpcer\Documents\sync_code\P1725_琪露诺.cpp                                                                                          | C++                |         35 |          5 |          9 |         49 |
| d:\Users\normalpcer\Documents\sync_code\P1776_宝物筛选.cpp                                                                                         | C++                |         60 |          3 |         12 |         75 |
| d:\Users\normalpcer\Documents\sync_code\P1848_[USACO12OPEN]_Bookshelf_G.cpp                                                                    | C++                |        151 |         22 |         11 |        184 |
| d:\Users\normalpcer\Documents\sync_code\P1856_[IOI1998]_[USACO5.5]_矩形周长Picture.cpp                                                             | C++                |         99 |          4 |          9 |        112 |
| d:\Users\normalpcer\Documents\sync_code\P1886_滑动窗口__【模板】单调队列.cpp                                                                               | C++                |         62 |          3 |         10 |         75 |
| d:\Users\normalpcer\Documents\sync_code\P1937_[USACO10MAR]_Barn_Allocation_G.cpp                                                               | C++                |         97 |         17 |         11 |        125 |
| d:\Users\normalpcer\Documents\sync_code\P1939_矩阵加速（数列）.cpp                                                                                     | C++                |        101 |         10 |         14 |        125 |
| d:\Users\normalpcer\Documents\sync_code\P1941_[NOIP2014_提高组]_飞扬的小鸟.cpp                                                                         | C++                |         67 |          3 |         11 |         81 |
| d:\Users\normalpcer\Documents\sync_code\P1948_[USACO08JAN]_Telephone_Lines_S.cpp                                                               | C++                |        226 |         18 |         17 |        261 |
| d:\Users\normalpcer\Documents\sync_code\P1962_斐波那契数列.cpp                                                                                       | C++                |         98 |          3 |         16 |        117 |
| d:\Users\normalpcer\Documents\sync_code\P1966_[NOIP2013_提高组]_火柴排队.cpp                                                                          | C++                |         79 |          3 |         15 |         97 |
| d:\Users\normalpcer\Documents\sync_code\P1967_[NOIP2013_提高组]_货车运输.cpp                                                                          | C++                |        118 |          8 |         28 |        154 |
| d:\Users\normalpcer\Documents\sync_code\P1972_[SDOI2009]_HH的项链.cpp                                                                             | C++                |         90 |          3 |          8 |        101 |
| d:\Users\normalpcer\Documents\sync_code\P2015_二叉苹果树.cpp                                                                                        | C++                |         40 |          3 |          7 |         50 |
| d:\Users\normalpcer\Documents\sync_code\P2015_二叉苹果树_2.cpp                                                                                      | C++                |         40 |          3 |          9 |         52 |
| d:\Users\normalpcer\Documents\sync_code\P2044_[NOI2012]_随机数生成器.cpp                                                                             | C++                |         96 |          3 |         17 |        116 |
| d:\Users\normalpcer\Documents\sync_code\P2114_[NOI2014]_起床困难综合症.cpp                                                                            | C++                |         30 |          3 |          7 |         40 |
| d:\Users\normalpcer\Documents\sync_code\P2146_[NOI2015]_软件包管理器.cpp                                                                             | C++                |        136 |          3 |          8 |        147 |
| d:\Users\normalpcer\Documents\sync_code\P2151_[SDOI2009]_HH去散步.cpp                                                                             | C++                |        116 |         23 |         15 |        154 |
| d:\Users\normalpcer\Documents\sync_code\P2170_选学霸.cpp                                                                                          | C++                |         60 |          3 |         12 |         75 |
| d:\Users\normalpcer\Documents\sync_code\P2233_[HNOI2002]_公交车路线.cpp                                                                             | C++                |         77 |          8 |         11 |         96 |
| d:\Users\normalpcer\Documents\sync_code\P2395_BBCode转换Markdown.cpp                                                                             | C++                |        142 |          3 |         14 |        159 |
| d:\Users\normalpcer\Documents\sync_code\P2401_不等数列.cpp                                                                                         | C++                |         27 |          3 |          8 |         38 |
| d:\Users\normalpcer\Documents\sync_code\P2458_[SDOI2006]_保安站岗.cpp                                                                              | C++                |        170 |         13 |         12 |        195 |
| d:\Users\normalpcer\Documents\sync_code\P2482.c                                                                                                | C                  |        485 |         53 |         53 |        591 |
| d:\Users\normalpcer\Documents\sync_code\P2482.py                                                                                               | Python             |        424 |         16 |        102 |        542 |
| d:\Users\normalpcer\Documents\sync_code\P2482_[SDOI2010]_猪国杀.cpp                                                                               | C++                |        503 |        112 |         66 |        681 |
| d:\Users\normalpcer\Documents\sync_code\P2482_copy.cpp                                                                                         | C++                |        519 |        112 |         66 |        697 |
| d:\Users\normalpcer\Documents\sync_code\P2482_cybher.cpp                                                                                       | C++                |        567 |         95 |         60 |        722 |
| d:\Users\normalpcer\Documents\sync_code\P2485_[SDOI2011]_计算器.cpp                                                                               | C++                |         65 |          9 |          9 |         83 |
| d:\Users\normalpcer\Documents\sync_code\P2486_[SDOI2011]_染色.cpp                                                                                | C++                |        200 |          8 |         10 |        218 |
| d:\Users\normalpcer\Documents\sync_code\P2487_[SDOI2011]_拦截导弹.cpp                                                                              | C++                |        150 |          4 |         38 |        192 |
| d:\Users\normalpcer\Documents\sync_code\P2515_[HAOI2010]_软件安装.cpp                                                                              | C++                |        329 |          6 |         30 |        365 |
| d:\Users\normalpcer\Documents\sync_code\P2564_[SCOI2009]_生日礼物.cpp                                                                              | C++                |         43 |          6 |         14 |         63 |
| d:\Users\normalpcer\Documents\sync_code\P2579_[ZJOI2005]_沼泽鳄鱼.cpp                                                                              | C++                |        128 |         11 |         20 |        159 |
| d:\Users\normalpcer\Documents\sync_code\P2586_[ZJOI2008]_杀蚂蚁.cpp                                                                               | C++                |        346 |         81 |         45 |        472 |
| d:\Users\normalpcer\Documents\sync_code\P2590_[ZJOI2008]_树的统计.cpp                                                                              | C++                |        147 |          7 |          7 |        161 |
| d:\Users\normalpcer\Documents\sync_code\P2605_[ZJOI2010]_基站选址.cpp                                                                              | C++                |        164 |         19 |         12 |        195 |
| d:\Users\normalpcer\Documents\sync_code\P2627_[USACO11OPEN]_Mowing_the_Lawn_G.cpp                                                              | C++                |         26 |          3 |          9 |         38 |
| d:\Users\normalpcer\Documents\sync_code\P2679_[NOIP2015_提高组]_子串.cpp                                                                            | C++                |         45 |          3 |         10 |         58 |
| d:\Users\normalpcer\Documents\sync_code\P2698_[USACO12MAR]_Flowerpot_S.cpp                                                                     | C++                |         45 |          4 |         18 |         67 |
| d:\Users\normalpcer\Documents\sync_code\P2704_[NOI2001]_炮兵阵地.cpp                                                                               | C++                |        123 |         11 |         18 |        152 |
| d:\Users\normalpcer\Documents\sync_code\P2717_寒假作业.cpp                                                                                         | C++                |         51 |          3 |         16 |         70 |
| d:\Users\normalpcer\Documents\sync_code\P2736_[USACO3.4]_破锣摇滚乐队_Raucous_Rockers.cpp                                                            | C++                |         33 |          4 |         11 |         48 |
| d:\Users\normalpcer\Documents\sync_code\P2741_[USACO4.4]_重叠的图像Frame_Up.cpp                                                                     | C++                |        230 |          6 |         20 |        256 |
| d:\Users\normalpcer\Documents\sync_code\P2831_[NOIP2016_提高组]_愤怒的小鸟.cpp                                                                         | C++                |         98 |         13 |         14 |        125 |
| d:\Users\normalpcer\Documents\sync_code\P2866_[USACO06NOV]_Bad_Hair_Day_S.cpp                                                                  | C++                |         53 |          3 |         12 |         68 |
| d:\Users\normalpcer\Documents\sync_code\P2886_[USACO07NOV]_Cow_Relays_G.cpp                                                                    | C++                |         99 |         17 |         16 |        132 |
| d:\Users\normalpcer\Documents\sync_code\P2894_[USACO08FEB]_Hotel_G.cpp                                                                         | C++                |        194 |         37 |         13 |        244 |
| d:\Users\normalpcer\Documents\sync_code\P2897_[USACO08JAN]_Artificial_Lake_G.cpp                                                               | C++                |         78 |          5 |         11 |         94 |
| d:\Users\normalpcer\Documents\sync_code\P2954_[USACO09OPEN]_Grazing2_S.cpp                                                                     | C++                |         48 |          5 |          8 |         61 |
| d:\Users\normalpcer\Documents\sync_code\P2954_translate.md                                                                                     | Markdown           |         22 |          0 |         14 |         36 |
| d:\Users\normalpcer\Documents\sync_code\P2986_[USACO10MAR]_Great_Cow_Gathering_G.cpp                                                           | C++                |        201 |          7 |         13 |        221 |
| d:\Users\normalpcer\Documents\sync_code\P3038_[USACO11DEC]_Grass_Planting_G.cpp                                                                | C++                |        132 |          3 |          8 |        143 |
| d:\Users\normalpcer\Documents\sync_code\P3047_[USACO12FEB]_Nearby_Cows_G.cpp                                                                   | C++                |        197 |          7 |         13 |        217 |
| d:\Users\normalpcer\Documents\sync_code\P3052_[USACO12MAR]_Cows_in_a_Skyscraper_G.cpp                                                          | C++                |         43 |          3 |         13 |         59 |
| d:\Users\normalpcer\Documents\sync_code\P3067_[USACO12OPEN]_Balanced_Cow_Subsets_G.cpp                                                         | C++                |         68 |          4 |         14 |         86 |
| d:\Users\normalpcer\Documents\sync_code\P3120_[USACO15FEB]_Cow_Hopscotch_G.cpp                                                                 | C++                |         96 |         14 |         12 |        122 |
| d:\Users\normalpcer\Documents\sync_code\P3128_[USACO15DEC]_Max_Flow_P.cpp                                                                      | C++                |         80 |          3 |         20 |        103 |
